segment_name,segment_start_sec,segment_end_sec,frame_idx,processed_idx,bag_abs_time,bag_rel_time,roi_mean,roi_std,roi_min,roi_max,edge_pixel_count,hough_line_count,left_line_count,right_line_count,left_slope,right_slope,lpos,rpos,lane_width,center,center_error,mode,baseline_mode,corner,fail_count,center_jump,lane_width_jump,recovery_used,recovery_success,recovery_left_found,recovery_right_found,recovery_window_px,recovery_reason,local_first_used,local_accept,full_fallback_used,local_reason,v3_full_recheck_used,v3_mismatch,v3_tentative_count,v3_full_recheck_accept,v3_decision,suspicious_reasons
lap1_problem_section_v3,37.440000,43.640000,1117,0,1780899047.915690422,37.440142870,102.695895,65.163754,16,236,723,7,3,4,-0.716981132,0.807692308,51,560,509,305,-15,BOTH,BOTH,STRAIGHT,0,15,,0,0,0,0,90,no_last_good,0,0,1,no_last_good,0,0,0,0,no_last_good_use_full,
lap1_problem_section_v3,37.440000,43.640000,1118,1,1780899047.947730541,37.472182989,101.814162,65.534129,16,236,803,13,3,10,-0.744186047,0.783783784,51,559,508,305,-15,BOTH,BOTH,STRAIGHT,0,0,1,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local,v3_local_first_used;v3_local_accept
lap1_problem_section_v3,37.440000,43.640000,1119,2,1780899047.981523991,37.505976439,100.640455,65.661100,16,235,799,12,4,8,-0.725806452,0.808080808,49,559,510,304,-16,BOTH,BOTH,STRAIGHT,0,1,2,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local,v3_local_first_used;v3_local_accept
lap1_problem_section_v3,37.440000,43.640000,1120,3,1780899048.011941195,37.536393642,99.517259,65.552581,16,236,803,10,2,8,-0.723577236,0.809090909,48,558,510,303,-17,BOTH,BOTH,STRAIGHT,0,1,0,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local,v3_local_first_used;v3_local_accept
lap1_problem_section_v3,37.440000,43.640000,1121,4,1780899048.043987989,37.568440437,98.343437,65.387368,16,236,875,14,7,7,-0.740740741,0.811320755,48,558,510,303,-17,BOTH,BOTH,STRAIGHT,0,0,0,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local,v3_local_first_used;v3_local_accept
lap1_problem_section_v3,37.440000,43.640000,1122,5,1780899048.083077431,37.607529879,96.831690,65.002796,16,236,879,16,5,11,-0.729508197,0.814814815,46,558,512,302,-18,BOTH,BOTH,STRAIGHT,0,1,2,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local,v3_local_first_used;v3_local_accept
lap1_problem_section_v3,37.440000,43.640000,1123,6,1780899048.112938643,37.637391090,95.123437,64.704204,16,235,889,15,6,9,-0.729508197,0.811111111,46,558,512,302,-18,BOTH,BOTH,STRAIGHT,0,0,0,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local,v3_local_first_used;v3_local_accept
lap1_problem_section_v3,37.440000,43.640000,1124,7,1780899048.144531727,37.668984175,93.504659,64.276878,16,236,923,20,10,10,-0.735849057,0.780219780,46,558,512,302,-18,BOTH,BOTH,STRAIGHT,0,0,0,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local,v3_local_first_used;v3_local_accept
lap1_problem_section_v3,37.440000,43.640000,1125,8,1780899048.180727243,37.705179691,91.471690,63.696062,16,236,1011,19,7,12,-0.722222222,0.810000000,46,558,512,302,-18,BOTH,BOTH,STRAIGHT,0,0,0,1,1,1,1,90,success,1,1,0,success,0,0,0,0,accept_local,v3_local_first_used;v3_local_accept
lap1_problem_section_v3,37.440000,43.640000,1126,9,1780899048.212829351,37.737281799,89.715000,63.100788,16,236,1068,26,9,17,-0.733333333,0.760416667,46,558,512,302,-18,BOTH,BOTH,STRAIGHT,0,0,0,1,1,1,1,90,success,1,1,0,success,1,1,1,0,hold_local_wait_full_consistency,v3_local_first_used;v3_local_accept;v3_prediction_mismatch
